93: [0] [[]]
96: [0] [[0.2525278329849243]]
97: [0] [[0.004126906394958496]]
101: [0] [[0.23139947652816772]]
102: [0] [[0.0013031363487243652]]
103: [0] [[0.11763131618499756]]
104: [0] [[0.10237157344818115]]
105: [0] [[0.0011881589889526367]]
106: [0] [[0.13537120819091797]]
107: [0] [[0.0008588433265686035]]
108: [0] [[0.1597554087638855]]
109: [0] [[0.015247881412506104]]
110: [0] [[0.0]]
111: [0] [[0.18453192710876465]]
112: [0] [[0.14235591888427734]]
113: [0] [[0.1807228922843933]]
114: [0] [[0.08276963233947754]]
115: [0] [[0.0]]
116: [0, 0] [[0.6135035455226898], [0.7516379952430725]]
117: [0, 0] [[0.6460646390914917], [0.62856724858284]]
118: [0, 0] [[0.6465547680854797], [0.6772587895393372]]
119: [0, 0] [[0.7628941684961319], [0.7694986164569855]]
120: [0, 0] [[0.7694986164569855], [0.7694986164569855]]
121: [0, 0] [[0.6566641926765442], [0.7057190835475922]]
122: [0, 0] [[0.764772355556488], [0.7562659680843353]]
123: [0, 0] [[0.8100520372390747], [0.7368442416191101]]
124: [0, 0] [[0.7421447932720184], [0.7454578876495361]]
125: [0, 0] [[0.6986618340015411], [0.6986618340015411]]
126: [0, 0] [[0.641889214515686], [0.5893149971961975]]
183: [1, 1, 0] [[1.01566843688488, 0.6713184118270874], [1.0440552532672882, 0.5925673246383667], [0.07697689533233643, 1.1082143783569336]]
184: [1, 1, 0] [[1.024546379223466, 0.5494118928909302], [1.013320186175406, 0.49678856134414673], [0.0037966370582580566, 0.9969624392688274]]
185: [1, 1, 0] [[1.0513564869761467, 0.5763693451881409], [1.0697020515799522, 0.6051954925060272], [0.01228421926498413, 1.0711021274328232]]
186: [1, 1, 0] [[1.0456989854574203, 0.5873996019363403], [1.2074831128120422, 0.7223186194896698], [0.07378923892974854, 1.0933784916996956]]
187: [1, 1, 0] [[1.0516385324299335, 0.7462998032569885], [1.093176245689392, 0.647182434797287], [0.01865983009338379, 1.1164842396974564]]
188: [1, 1, 0] [[1.0335458181798458, 0.5958034694194794], [1.26784148812294, 0.6555904150009155], [0.20950543880462646, 1.2360069751739502]]
189: [1, 1, 0] [[1.0716575980186462, 0.7130574285984039], [1.1812788248062134, 0.61910480260849], [0.00825655460357666, 1.1746943145990372]]
190: [1, 1, 0] [[1.004997119307518, 0.7144519686698914], [1.212457150220871, 0.7468272745609283], [0.027833163738250732, 1.2380024790763855]]
191: [1, 1, 0] [[0.9774842467159033, 0.762498676776886], [1.0953654274344444, 0.7658133953809738], [0.1434834599494934, 1.1009365245699883]]
192: [1, 1, 0] [[1.0875304117798805, 0.7506769001483917], [1.1344866752624512, 0.7144754528999329], [0.20149338245391846, 1.1395178586244583]]
